task,model,split,test_role,held_out_animal,training_animals,random_state,train_rows,test_rows,ensemble_size,member_iterations,model_vs_heldout_pearson_r,model_vs_heldout_spearman_r,model_vs_heldout_r2,model_vs_heldout_mae,model_vs_heldout_rmse,training_mean_vs_heldout_pearson_r,model_vs_training_mean_pearson_r,disagreement_vs_absolute_error_pearson_r,model_vs_heldout_bootstrap_resamples,model_vs_heldout_bootstrap_confidence,model_vs_heldout_pearson_r_ci_low,model_vs_heldout_pearson_r_ci_high,model_vs_heldout_spearman_r_ci_low,model_vs_heldout_spearman_r_ci_high,model_vs_heldout_r2_ci_low,model_vs_heldout_r2_ci_high,model_vs_heldout_mae_ci_low,model_vs_heldout_mae_ci_high,model_vs_heldout_rmse_ci_low,model_vs_heldout_rmse_ci_high
brain,shared_mlp_64_32_ensemble_5,distance-2-sequence-holdout__leave-one-animal-out__test-a1,development_cross_animal_robustness,1,2|3|4,42,74569,16918,5,32|36|34|35|37,0.35823196315230843,0.34465358578460925,0.09339130657077921,0.7676437075716527,1.0616495538936477,0.482241088652759,0.6326966688650355,0.13551884194918745,500,0.95,0.3429888763038456,0.37353127404338865,0.3318319547545045,0.3583299083498381,0.07798288488961029,0.11026849940455213,0.7569541351084501,0.7777627677789705,1.0453091813484499,1.0784643962500704
spinal_cord,shared_mlp_64_32_ensemble_5,distance-2-sequence-holdout__leave-one-animal-out__test-a1,development_cross_animal_robustness,1,2|3|4,42,74569,18262,5,32|36|34|35|37,0.4534663053266014,0.4838949819542134,0.17046304992928452,0.596995456823191,0.8232116156618337,0.5687918090453951,0.6558902313175716,0.15996683626036212,500,0.95,0.43981636619831416,0.4656184031578874,0.4724756247437583,0.49592680735292577,0.15237909501612262,0.18648179669847226,0.5890726250216307,0.6048320597911439,0.8103868945852771,0.8351926410757171
liver,shared_mlp_64_32_ensemble_5,distance-2-sequence-holdout__leave-one-animal-out__test-a1,development_cross_animal_robustness,1,2|3|4,42,74569,18833,5,32|36|34|35|37,0.7982551260532503,0.8114631262237544,0.6337635528042014,0.6655489350931548,0.9163342145033841,0.8290805654184402,0.8237952369065353,0.09331984513705079,500,0.95,0.7929234246149669,0.8039047017452579,0.8057777962090332,0.8173912522862058,0.6243231185314223,0.6435371457068397,0.6566949212035096,0.6748097517685614,0.9049012418223816,0.9278572253404144
heart,shared_mlp_64_32_ensemble_5,distance-2-sequence-holdout__leave-one-animal-out__test-a1,development_cross_animal_robustness,1,2|3|4,42,74569,18742,5,32|36|34|35|37,0.3607913800850961,0.3388999710255257,0.11439180659264514,0.5846579440213107,0.8248302741259335,0.5613582971597842,0.601765617791309,0.1866126111662441,500,0.95,0.34544846882214186,0.37639870911346696,0.325205740168705,0.35145761015793836,0.09961463879293776,0.12891512114087147,0.5752738002453689,0.5934917059150452,0.8106913662500035,0.8381000522114441
kidney,shared_mlp_64_32_ensemble_5,distance-2-sequence-holdout__leave-one-animal-out__test-a1,development_cross_animal_robustness,1,2|3|4,42,74569,19166,5,32|36|34|35|37,0.5781691850889104,0.5934472215123399,0.329147384181007,0.5567846051406988,0.7588830438224133,0.6901547927528621,0.706899906564821,0.07456525530855612,500,0.95,0.5678556588707286,0.587600197620908,0.5833915169807382,0.6031598372222243,0.31556989558045284,0.3413969854085057,0.5498357457965045,0.5644556385464999,0.7483840942850886,0.7699256384553602
brain,shared_mlp_64_32_ensemble_5,distance-2-sequence-holdout__leave-one-animal-out__test-a2,development_cross_animal_robustness,2,1|3|4,42,74581,17588,5,30|35|30|30|36,0.4561190043203896,0.45885075488014887,0.19970794441172024,0.6909829738709193,0.9515309590731629,0.5551534986796529,0.6056004270116816,0.1665624744311493,500,0.95,0.4424040636708692,0.4693294473736221,0.4459349638237876,0.4697588235377132,0.184921307375022,0.21381155362660334,0.6819372766331893,0.7002767992004505,0.9367788513997447,0.9648854276496127
spinal_cord,shared_mlp_64_32_ensemble_5,distance-2-sequence-holdout__leave-one-animal-out__test-a2,development_cross_animal_robustness,2,1|3|4,42,74581,18410,5,30|35|30|30|36,0.5363902734519426,0.5699392700955336,0.28296032479427946,0.6298433582415165,0.8925440490880335,0.6254840438270223,0.6315805848356493,0.19031963881142472,500,0.95,0.5247994767497531,0.5491276567492617,0.5588058070793269,0.5807369670757896,0.27138511453989933,0.295365745914311,0.6213399941084329,0.6391912840719419,0.880109753994969,0.9060412838192798
liver,shared_mlp_64_32_ensemble_5,distance-2-sequence-holdout__leave-one-animal-out__test-a2,development_cross_animal_robustness,2,1|3|4,42,74581,18652,5,30|35|30|30|36,0.7847975821091985,0.7992522912849279,0.6153150870208411,0.7080082283517405,0.96690749599176,0.8215284638460222,0.826130382706802,0.08006716636429471,500,0.95,0.779112570007472,0.7905440417524915,0.7937247332826657,0.805458707815127,0.6059835292151345,0.6246073526627131,0.6986008796352667,0.717137158637396,0.9551435890835525,0.9797139830022289
heart,shared_mlp_64_32_ensemble_5,distance-2-sequence-holdout__leave-one-animal-out__test-a2,development_cross_animal_robustness,2,1|3|4,42,74581,19126,5,30|35|30|30|36,0.445943517941328,0.4380889994015102,0.19358143071558287,0.533470859139915,0.771590043970664,0.6251323318093959,0.5856972131903949,0.19217758265877946,500,0.95,0.4307243614942189,0.45960579991189987,0.42474131031724255,0.449087822530431,0.1790638818348683,0.20549109921960207,0.5252557467928364,0.5414062507754214,0.7577409527023674,0.7841301802471051
kidney,shared_mlp_64_32_ensemble_5,distance-2-sequence-holdout__leave-one-animal-out__test-a2,development_cross_animal_robustness,2,1|3|4,42,74581,19255,5,30|35|30|30|36,0.6039983325792707,0.6230110594502177,0.3627057850177887,0.5393401614697505,0.7383869027723657,0.7208746885451504,0.7027915134379379,0.07258102863539402,500,0.95,0.5933359174568779,0.6143643624026033,0.6131549220178634,0.6328283118057827,0.3490220924220655,0.37610165310681754,0.5322780015741397,0.5467987965871017,0.7278429307937622,0.7506995714339542
