experiment_accession,experiment_alias,experiment_title,biosample_accession,run_accession,bytes,spots,library,assay_type,sample,lab_host,project_role,fastq_url,fastq_md5,fastq_bytes
SRX25195611,hammerhead_Brain_a1_r1,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692575,248717916,3967992,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/075/SRR29692575/SRR29692575.fastq.gz,97da73986ff3c6f5566048da78a19c2d,209708086
SRX25195612,hammerhead_Brain_a1_r2,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692574,180770084,2890580,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/074/SRR29692574/SRR29692574.fastq.gz,d27ab326bdc9735a93dbb22b44b2111b,150511531
SRX25195613,hammerhead_Brain_a1_r3,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692573,134656748,2169647,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/073/SRR29692573/SRR29692573.fastq.gz,7037d6d6639fae60d125414343a536bb,111266217
SRX25195614,hammerhead_Brain_a2_r1,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692572,213629799,3429470,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/072/SRR29692572/SRR29692572.fastq.gz,5c01d3fc96fc482c1c50df5a1d7cfc92,175500626
SRX25195615,hammerhead_Brain_a2_r2,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692571,187633804,2951666,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/071/SRR29692571/SRR29692571.fastq.gz,164e7fd306ece6cbba64614d761475ce,153304780
SRX25195616,hammerhead_Brain_a2_r3,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692570,220105382,3446846,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/070/SRR29692570/SRR29692570.fastq.gz,81aa354566a8b77d6e978d337a70a219,177050265
SRX25195618,hammerhead_Brain_a3_r1,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692568,258036562,4077330,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/068/SRR29692568/SRR29692568.fastq.gz,d29baf125c42235f7eb726c3b327b140,204188083
SRX25195619,hammerhead_Brain_a3_r2,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692567,174220916,2741942,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/067/SRR29692567/SRR29692567.fastq.gz,a75e7fb1cd76b7790915b0b47e181241,136493924
SRX25195620,hammerhead_Brain_a3_r3,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692566,241455304,3848677,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/066/SRR29692566/SRR29692566.fastq.gz,964b4384eb945d854c44b97184de9c2a,203054149
SRX25195621,hammerhead_Brain_a4_r1,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692565,330192086,5277932,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/065/SRR29692565/SRR29692565.fastq.gz,b218dc88783f1c6b5d4af1ae4b59da75,275707849
SRX25195622,hammerhead_Brain_a4_r2,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692564,460414073,7425744,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/064/SRR29692564/SRR29692564.fastq.gz,26db604f40ffa4cc50aa8b3fc4483d03,379408951
SRX25195623,hammerhead_Brain_a4_r3,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692563,408754593,6568051,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/063/SRR29692563/SRR29692563.fastq.gz,32cc90d4c62f17824cbda1e83951d5a5,334283397
SRX25195523,hammerhead_Heart_a1_r1,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692662,232508752,3887865,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/062/SRR29692662/SRR29692662.fastq.gz,b5a6f86337d10df38d681ce40f6d9e99,195078396
SRX25195524,hammerhead_Heart_a1_r2,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692661,266403993,4492446,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/061/SRR29692661/SRR29692661.fastq.gz,59e391d726fa03024e5a1ba2d789570c,220600425
SRX25195526,hammerhead_Heart_a1_r3,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692659,145763067,2442306,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/059/SRR29692659/SRR29692659.fastq.gz,3fd5f4c3ada39d228dbcde7e19821311,119937102
SRX25195527,hammerhead_Heart_a2_r1,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692658,342283089,5727043,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/058/SRR29692658/SRR29692658.fastq.gz,6348590b4e9bc47fbb112fd035766996,278365641
SRX25195528,hammerhead_Heart_a2_r2,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692657,317644288,5315065,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/057/SRR29692657/SRR29692657.fastq.gz,f8f9c4e870c68d7bad3a4ed7aa423f05,253156068
SRX25195529,hammerhead_Heart_a2_r3,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692656,282094338,4627946,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/056/SRR29692656/SRR29692656.fastq.gz,2e2afde54316f1fa4e25582971fe4be5,223864745
SRX25195530,hammerhead_Heart_a3_r1,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692655,898238076,14780586,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/055/SRR29692655/SRR29692655.fastq.gz,f226a14b47080bef4df24bdbcad755d0,700652081
SRX25195531,hammerhead_Heart_a3_r2,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692654,357797299,5993764,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/054/SRR29692654/SRR29692654.fastq.gz,06c3bd8588706f7100999c825d9393ab,273312949
SRX25195532,hammerhead_Heart_a3_r3,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692653,332036105,5628859,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/053/SRR29692653/SRR29692653.fastq.gz,cff0c7a46c69406917ad4cd8e0d58c59,273995105
SRX25195533,hammerhead_Heart_a4_r1,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692652,814477012,13677922,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/052/SRR29692652/SRR29692652.fastq.gz,d73f99c6a504892abe0a310db0a33701,664592263
SRX25195534,hammerhead_Heart_a4_r2,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692651,629401397,10636172,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/051/SRR29692651/SRR29692651.fastq.gz,284f5f3f3d843d86f8bb774b0fbcf6c5,506810866
SRX25195535,hammerhead_Heart_a4_r3,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692650,629871611,10515205,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/050/SRR29692650/SRR29692650.fastq.gz,cb8b667935c5f78f5754a04465928d08,500902068
SRX25195510,hammerhead_Kidney_a1_r1,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692675,344403992,5819014,Hammerhead,Biodistribution,Kidney,Mus musculus,Kidney,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/075/SRR29692675/SRR29692675.fastq.gz,2507594c2b9e762f9cb68a683e2e9ed9,284521517
SRX25195511,hammerhead_Kidney_a1_r2,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692674,213532315,3597981,Hammerhead,Biodistribution,Kidney,Mus musculus,Kidney,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/074/SRR29692674/SRR29692674.fastq.gz,9069447244e64e5da91e178d57383b43,175110327
SRX25195512,hammerhead_Kidney_a1_r3,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692673,395299311,6666110,Hammerhead,Biodistribution,Kidney,Mus musculus,Kidney,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/073/SRR29692673/SRR29692673.fastq.gz,0f9a85424ea4e2d30d5f0b81aa827000,319801868
SRX25195513,hammerhead_Kidney_a2_r1,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692672,346138685,5805373,Hammerhead,Biodistribution,Kidney,Mus musculus,Kidney,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/072/SRR29692672/SRR29692672.fastq.gz,1d23d7c015e77bf2b55a22ebea822ff5,275684970
SRX25195515,hammerhead_Kidney_a2_r2,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692670,359363170,5906644,Hammerhead,Biodistribution,Kidney,Mus musculus,Kidney,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/070/SRR29692670/SRR29692670.fastq.gz,36b2c4f2643de7cc67b7ae695e343356,284580727
SRX25195516,hammerhead_Kidney_a2_r3,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692669,416493652,6872364,Hammerhead,Biodistribution,Kidney,Mus musculus,Kidney,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/069/SRR29692669/SRR29692669.fastq.gz,f250a67246e0119769234e7b83cc6129,326179264
SRX25195517,hammerhead_Kidney_a3_r1,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692668,519962482,8763657,Hammerhead,Biodistribution,Kidney,Mus musculus,Kidney,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/068/SRR29692668/SRR29692668.fastq.gz,80a7ab49fea04a74693c2375c9358002,393974530
SRX25195518,hammerhead_Kidney_a3_r2,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692667,587787742,9924138,Hammerhead,Biodistribution,Kidney,Mus musculus,Kidney,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/067/SRR29692667/SRR29692667.fastq.gz,643ab748f78b1b4081e166caa86bf38d,483821988
SRX25195519,hammerhead_Kidney_a3_r3,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692666,628012161,10574486,Hammerhead,Biodistribution,Kidney,Mus musculus,Kidney,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/066/SRR29692666/SRR29692666.fastq.gz,b466aad3f1611eaaaae4c5ecfc3d14e8,512146718
SRX25195520,hammerhead_Kidney_a4_r1,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692665,610370416,10366601,Hammerhead,Biodistribution,Kidney,Mus musculus,Kidney,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/065/SRR29692665/SRR29692665.fastq.gz,cc365d3396f863fc424548758ec6c944,489838303
SRX25195521,hammerhead_Kidney_a4_r2,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692664,295627953,4975705,Hammerhead,Biodistribution,Kidney,Mus musculus,Kidney,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/064/SRR29692664/SRR29692664.fastq.gz,0ac961a8d43940e6607b5cf41535572b,234797907
SRX25195522,hammerhead_Kidney_a4_r3,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692663,477775380,7845068,Hammerhead,Biodistribution,Kidney,Mus musculus,Kidney,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/063/SRR29692663/SRR29692663.fastq.gz,5e404908b216dd789f9772dcc11c8163,378189045
SRX25195561,hammerhead_Liver_a1_r1,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692624,607457154,10327483,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/024/SRR29692624/SRR29692624.fastq.gz,c324ccb77304d7897fa28c6a59c16b91,497180254
SRX25195562,hammerhead_Liver_a1_r2,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692623,590201920,10012231,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/023/SRR29692623/SRR29692623.fastq.gz,8761c8508c0a34a5502c561759b6c921,483793613
SRX25195563,hammerhead_Liver_a1_r3,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692622,527298311,8969785,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/022/SRR29692622/SRR29692622.fastq.gz,09cccd2305240e8480037183db621005,431866619
