experiment_accession,experiment_alias,experiment_title,biosample_accession,run_accession,bytes,spots,library,assay_type,sample,lab_host,project_role,fastq_url,fastq_md5,fastq_bytes,kind,endpoint,biological_replicate,technical_replicate,production_round,reads_examined,valid_reads_all_7mer,whitelist_matched_reads,valid_fraction,whitelist_share_of_valid
SRX25195561,hammerhead_Liver_a1_r1,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692624,607457154,10327483,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/024/SRR29692624/SRR29692624.fastq.gz,c324ccb77304d7897fa28c6a59c16b91,497180254,organ,Liver,1.0,1,,10327483,6366739,2577111,0.6164850622363649,0.4047772336827377
SRX25195562,hammerhead_Liver_a1_r2,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692623,590201920,10012231,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/023/SRR29692623/SRR29692623.fastq.gz,8761c8508c0a34a5502c561759b6c921,483793613,organ,Liver,1.0,2,,10012231,6147726,2489079,0.6140215901930349,0.40487799879174835
SRX25195563,hammerhead_Liver_a1_r3,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692622,527298311,8969785,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/022/SRR29692622/SRR29692622.fastq.gz,09cccd2305240e8480037183db621005,431866619,organ,Liver,1.0,3,,8969785,5541766,2244895,0.6178259568094442,0.40508657348578053
SRX25195564,hammerhead_Liver_a2_r1,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692621,536727091,8988849,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/021/SRR29692621/SRR29692621.fastq.gz,98167bc722a1d4d2a521d535461afc36,439008876,organ,Liver,2.0,1,,8988849,5432823,2197030,0.6043958464537562,0.4043993334588666
SRX25195565,hammerhead_Liver_a2_r2,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692620,526033394,8850793,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/020/SRR29692620/SRR29692620.fastq.gz,e583e94791341312318a8d77dd9a7538,429062655,organ,Liver,2.0,2,,8850793,5426818,2194344,0.6131448334629451,0.40435186881152085
SRX25195566,hammerhead_Liver_a2_r3,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692619,473257397,8011325,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/019/SRR29692619/SRR29692619.fastq.gz,c6d36015085e66110421ac2f805de513,385130319,organ,Liver,2.0,3,,8011325,4989770,2015554,0.622839542772263,0.40393725562500876
SRX25195567,hammerhead_Liver_a3_r1,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692618,428349983,7244275,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/018/SRR29692618/SRR29692618.fastq.gz,6afcb9335d364161009fe2e27e508181,345041811,organ,Liver,3.0,1,,7244275,4519958,1831150,0.6239351763979142,0.4051254458559128
SRX25195568,hammerhead_Liver_a3_r2,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692617,111124953,1867965,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/017/SRR29692617/SRR29692617.fastq.gz,31192fdbe22dcd55673a209fd393866d,90107011,organ,Liver,3.0,2,,1867965,1161046,471350,0.6215566137481162,0.4059701338276003
SRX25195570,hammerhead_Liver_a3_r3,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692615,119953084,2020796,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/015/SRR29692615/SRR29692615.fastq.gz,4f0e45d9a0b5eedc15aab948c57fc88b,97091429,organ,Liver,3.0,3,,2020796,1261728,511280,0.624371782208595,0.40522204468792006
SRX25195571,hammerhead_Liver_a4_r1,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692614,583388799,9819836,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/014/SRR29692614/SRR29692614.fastq.gz,b4ad4f50c82e040e9dff88eb52979f8e,468925554,organ,Liver,4.0,1,,9819836,6077988,2459429,0.618950051711658,0.4046452543177117
SRX25195572,hammerhead_Liver_a4_r2,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692518,330262995,5571181,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/018/SRR29692518/SRR29692518.fastq.gz,44946ccec51806a7f1a0728dfcba955e,266074030,organ,Liver,4.0,2,,5571181,3469630,1401869,0.622781776431245,0.4040399120367301
SRX25195669,hammerhead_Liver_a4_r3,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692517,630071690,10550752,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/017/SRR29692517/SRR29692517.fastq.gz,8155cb7f6a9be0116557b344ea52f751,499199861,organ,Liver,4.0,3,,10550752,6438914,2609703,0.6102801013614954,0.40530173255924834
SRX25195624,hammerhead_start_virus_prod3_r1,Hammerhead library production round 3 virus DNA,SRS21884676,SRR29692562,319767009,5219156,Hammerhead,Virus DNA,missing,Homo sapiens HEK293 cells,Virus reference,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/062/SRR29692562/SRR29692562.fastq.gz,db352380bb6c6111208662d882dcf33c,269833840,virus,Virus DNA,,1,3.0,5219156,3162356,1280849,0.6059132932604429,0.40502998397397383
SRX25195625,hammerhead_start_virus_prod3_r2,Hammerhead library production round 3 virus DNA,SRS21884676,SRR29692561,372717841,6070071,Hammerhead,Virus DNA,missing,Homo sapiens HEK293 cells,Virus reference,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/061/SRR29692561/SRR29692561.fastq.gz,ed2df19f97f5b71e19bb8168fb74ec4e,314842942,virus,Virus DNA,,2,3.0,6070071,3635599,1473410,0.59893846381698,0.4052729687735088
SRX25195626,hammerhead_start_virus_prod3_r3,Hammerhead library production round 3 virus DNA,SRS21884676,SRR29692560,313947166,5130759,Hammerhead,Virus DNA,missing,Homo sapiens HEK293 cells,Virus reference,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/060/SRR29692560/SRR29692560.fastq.gz,c1a301d3aa24244210d7bcf47bf0965d,264716400,virus,Virus DNA,,3,3.0,5130759,3122004,1263391,0.6084877500580324,0.4046730881831029
SRX25195489,hammerhead_starter_virus_prod2_1,Hammerhead library production round 2 virus DNA,SRS21884658,SRR29692427,426493051,8124698,Hammerhead,Virus DNA,missing,Homo sapiens HEK293 cells,Virus reference,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/027/SRR29692427/SRR29692427.fastq.gz,278422eac1adb7ea83b0471b45ab292e,332877336,virus,Virus DNA,,1,2.0,8124698,6385250,2583771,0.7859061346034031,0.40464680317920204
SRX25195490,hammerhead_starter_virus_prod2_2,Hammerhead library production round 2 virus DNA,SRS21884658,SRR29692426,403174887,7709092,Hammerhead,Virus DNA,missing,Homo sapiens HEK293 cells,Virus reference,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/026/SRR29692426/SRR29692426.fastq.gz,9bb53c8da050a15270296c518da930f3,313971799,virus,Virus DNA,,2,2.0,7709092,6100458,2466731,0.7913328833019505,0.40435177162108155
SRX25195491,hammerhead_starter_virus_prod2_3,Hammerhead library production round 2 virus DNA,SRS21884658,SRR29692425,420675790,7975016,Hammerhead,Virus DNA,missing,Homo sapiens HEK293 cells,Virus reference,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/025/SRR29692425/SRR29692425.fastq.gz,bab277ffff82553ec2ef0d551efc775c,329453084,virus,Virus DNA,,3,2.0,7975016,6223597,2517167,0.7803867728917409,0.4044553334671252
