task,model,split,random_state,train_rows,test_rows,model_vs_animal4_pearson_r,model_vs_animal4_r2,model_vs_animal4_mae,animal_mean_vs_animal4_pearson_r,model_vs_animal_mean_pearson_r
brain,ridge,distance-2-sequence-holdout__train-a1-a3__test-a4,42,75118,18357,0.4285896650104914,0.176183367496591,0.760089132336614,0.6224487232638247,0.45258371485286
spinal_cord,ridge,distance-2-sequence-holdout__train-a1-a3__test-a4,42,76469,18682,0.4464717325707737,0.1895457161017836,0.7566202742862779,0.6410669061537677,0.4898640116543136
liver,ridge,distance-2-sequence-holdout__train-a1-a3__test-a4,42,77214,18619,0.6799554662892787,0.4619738378439046,0.8976877896937884,0.823121080856108,0.7236180026291114
heart,ridge,distance-2-sequence-holdout__train-a1-a3__test-a4,42,77707,19508,0.3304044044443313,0.1091564269561801,0.7033953542351009,0.5954400686468404,0.4545931540511239
kidney,ridge,distance-2-sequence-holdout__train-a1-a3__test-a4,42,77867,19433,0.5608936268130101,0.3121734282701025,0.6204035441436504,0.7285953352593059,0.6034550408840315
brain,random_forest,distance-2-sequence-holdout__train-a1-a3__test-a4,42,75118,18357,0.4451940164123385,0.1951536548018113,0.7459162395482979,0.6224487232638247,0.4758494088216783
spinal_cord,random_forest,distance-2-sequence-holdout__train-a1-a3__test-a4,42,76469,18682,0.476371771576613,0.218901326469623,0.7344523507400742,0.6410669061537677,0.5160188876744422
liver,random_forest,distance-2-sequence-holdout__train-a1-a3__test-a4,42,77214,18619,0.7147336920686227,0.5107011401970534,0.8268465961663661,0.823121080856108,0.7493699349704069
heart,random_forest,distance-2-sequence-holdout__train-a1-a3__test-a4,42,77707,19508,0.359306295927002,0.1289781826702001,0.6951455530101517,0.5954400686468404,0.4618822180891917
kidney,random_forest,distance-2-sequence-holdout__train-a1-a3__test-a4,42,77867,19433,0.5386789498311049,0.2872000808962286,0.6354011805466188,0.7285953352593059,0.595255603113416
