denominator_mode,endpoint,virus_round,animals,median_pairwise_animal_pearson,minimum_pairwise_animal_pearson,maximum_pairwise_animal_pearson,mean_finite_sequences_per_animal
all_valid,brain,2,4,0.45794179194193474,0.40985090789176915,0.5338095542782954,88157.0
all_valid,heart,2,4,0.4957423112085537,0.4564738334278598,0.5585900194326713,95316.75
all_valid,kidney,2,4,0.6415349117784845,0.6120745210171288,0.6670738436228755,96028.5
all_valid,liver,2,4,0.769190693032616,0.7312046996392706,0.8110741906912701,91226.0
all_valid,spinal_cord,2,4,0.5026478165123962,0.454207870802335,0.6054305379795033,91633.0
whitelist,brain,2,4,0.4572636484627774,0.4090059395047678,0.5337426781119591,88157.0
whitelist,heart,2,4,0.4958011417276963,0.4565025190130349,0.5585426945959894,95316.75
whitelist,kidney,2,4,0.6415312768813846,0.6120470965704305,0.6671005235271485,96028.5
whitelist,liver,2,4,0.7691819037575679,0.7312657796039409,0.81104005411189,91226.0
whitelist,spinal_cord,2,4,0.5024532046950562,0.4539184035122839,0.6051497543902014,91633.0
