experiment_accession,experiment_alias,experiment_title,biosample_accession,run_accession,bytes,spots,library,assay_type,sample,lab_host,project_role,fastq_url,fastq_md5,fastq_bytes,kind,endpoint,biological_replicate,technical_replicate,production_round,reads_examined,valid_reads_all_7mer,whitelist_matched_reads,valid_fraction,whitelist_share_of_valid
SRX25195611,hammerhead_Brain_a1_r1,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692575,248717916,3967992,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/075/SRR29692575/SRR29692575.fastq.gz,97da73986ff3c6f5566048da78a19c2d,209708086,organ,Brain,1.0,1,,3967992,2333071,901110,0.5879727076062653,0.3862334236720614
SRX25195612,hammerhead_Brain_a1_r2,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692574,180770084,2890580,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/074/SRR29692574/SRR29692574.fastq.gz,d27ab326bdc9735a93dbb22b44b2111b,150511531,organ,Brain,1.0,2,,2890580,1687661,632367,0.5838485701831466,0.37470025082051434
SRX25195613,hammerhead_Brain_a1_r3,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692573,134656748,2169647,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/073/SRR29692573/SRR29692573.fastq.gz,7037d6d6639fae60d125414343a536bb,111266217,organ,Brain,1.0,3,,2169647,1279739,486285,0.589837425166398,0.3799876381043322
SRX25195614,hammerhead_Brain_a2_r1,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692572,213629799,3429470,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/072/SRR29692572/SRR29692572.fastq.gz,5c01d3fc96fc482c1c50df5a1d7cfc92,175500626,organ,Brain,2.0,1,,3429470,1991825,796714,0.5807967411874138,0.39999196716579016
SRX25195615,hammerhead_Brain_a2_r2,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692571,187633804,2951666,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/071/SRR29692571/SRR29692571.fastq.gz,164e7fd306ece6cbba64614d761475ce,153304780,organ,Brain,2.0,2,,2951666,1695215,675757,0.5743248050423049,0.39862613296838456
SRX25195616,hammerhead_Brain_a2_r3,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692570,220105382,3446846,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/070/SRR29692570/SRR29692570.fastq.gz,81aa354566a8b77d6e978d337a70a219,177050265,organ,Brain,2.0,3,,3446846,2001511,794482,0.5806789743435012,0.39694111099064655
SRX25195618,hammerhead_Brain_a3_r1,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692568,258036562,4077330,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/068/SRR29692568/SRR29692568.fastq.gz,d29baf125c42235f7eb726c3b327b140,204188083,organ,Brain,3.0,1,,4077330,2423788,955556,0.5944547044266714,0.39424075042866785
SRX25195619,hammerhead_Brain_a3_r2,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692567,174220916,2741942,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/067/SRR29692567/SRR29692567.fastq.gz,a75e7fb1cd76b7790915b0b47e181241,136493924,organ,Brain,3.0,2,,2741942,1702822,660389,0.621027724145879,0.3878203358894823
SRX25195620,hammerhead_Brain_a3_r3,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692566,241455304,3848677,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/066/SRR29692566/SRR29692566.fastq.gz,964b4384eb945d854c44b97184de9c2a,203054149,organ,Brain,3.0,3,,3848677,2253047,851906,0.5854081805254118,0.3781128400783472
SRX25195621,hammerhead_Brain_a4_r1,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692565,330192086,5277932,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/065/SRR29692565/SRR29692565.fastq.gz,b218dc88783f1c6b5d4af1ae4b59da75,275707849,organ,Brain,4.0,1,,5277932,3077200,1228459,0.5830313842618662,0.3992132458078773
SRX25195622,hammerhead_Brain_a4_r2,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692564,460414073,7425744,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/064/SRR29692564/SRR29692564.fastq.gz,26db604f40ffa4cc50aa8b3fc4483d03,379408951,organ,Brain,4.0,2,,7425744,4366683,1743457,0.588046531095066,0.3992634684038205
SRX25195623,hammerhead_Brain_a4_r3,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692563,408754593,6568051,Hammerhead,Biodistribution,Brain,Mus musculus,Brain,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/063/SRR29692563/SRR29692563.fastq.gz,32cc90d4c62f17824cbda1e83951d5a5,334283397,organ,Brain,4.0,3,,6568051,3811227,1532386,0.5802675710039401,0.40207156382970627
SRX25195523,hammerhead_Heart_a1_r1,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692662,232508752,3887865,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/062/SRR29692662/SRR29692662.fastq.gz,b5a6f86337d10df38d681ce40f6d9e99,195078396,organ,Heart,1.0,1,,3887865,2379855,962711,0.6121238777581012,0.4045250656027363
SRX25195524,hammerhead_Heart_a1_r2,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692661,266403993,4492446,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/061/SRR29692661/SRR29692661.fastq.gz,59e391d726fa03024e5a1ba2d789570c,220600425,organ,Heart,1.0,2,,4492446,2716554,1099763,0.6046937459014532,0.40483752577714266
SRX25195526,hammerhead_Heart_a1_r3,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692659,145763067,2442306,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/059/SRR29692659/SRR29692659.fastq.gz,3fd5f4c3ada39d228dbcde7e19821311,119937102,organ,Heart,1.0,3,,2442306,1490621,604241,0.6103334307822198,0.40536192633808327
SRX25195527,hammerhead_Heart_a2_r1,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692658,342283089,5727043,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/058/SRR29692658/SRR29692658.fastq.gz,6348590b4e9bc47fbb112fd035766996,278365641,organ,Heart,2.0,1,,5727043,3455739,1405952,0.6034072033333782,0.40684554012904334
SRX25195528,hammerhead_Heart_a2_r2,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692657,317644288,5315065,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/057/SRR29692657/SRR29692657.fastq.gz,f8f9c4e870c68d7bad3a4ed7aa423f05,253156068,organ,Heart,2.0,2,,5315065,3233704,1317179,0.6084034720177458,0.407328252678662
SRX25195529,hammerhead_Heart_a2_r3,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692656,282094338,4627946,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/056/SRR29692656/SRR29692656.fastq.gz,2e2afde54316f1fa4e25582971fe4be5,223864745,organ,Heart,2.0,3,,4627946,2784289,1131937,0.6016252134316173,0.4065443637495964
SRX25195530,hammerhead_Heart_a3_r1,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692655,898238076,14780586,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/055/SRR29692655/SRR29692655.fastq.gz,f226a14b47080bef4df24bdbcad755d0,700652081,organ,Heart,3.0,1,,14780586,8919654,3620249,0.6034709313960894,0.405873254724903
SRX25195531,hammerhead_Heart_a3_r2,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692654,357797299,5993764,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/054/SRR29692654/SRR29692654.fastq.gz,06c3bd8588706f7100999c825d9393ab,273312949,organ,Heart,3.0,2,,5993764,3815111,1550840,0.6365133829093037,0.4064993128640294
SRX25195532,hammerhead_Heart_a3_r3,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692653,332036105,5628859,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/053/SRR29692653/SRR29692653.fastq.gz,cff0c7a46c69406917ad4cd8e0d58c59,273995105,organ,Heart,3.0,3,,5628859,3434968,1393519,0.6102423244213436,0.4056861665086836
SRX25195533,hammerhead_Heart_a4_r1,Hammerhead library mouse heart biodistribution,SRS21884665,SRR29692652,814477012,13677922,Hammerhead,Biodistribution,Heart,Mus musculus,Heart,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/052/SRR29692652/SRR29692652.fastq.gz,d73f99c6a504892abe0a310db0a33701,664592263,organ,Heart,4.0,1,,13677922,8276208,3367217,0.6050778765955823,0.4068550476256759
