experiment_accession,experiment_alias,experiment_title,biosample_accession,run_accession,bytes,spots,library,assay_type,sample,lab_host
SRX25195750,f4f_nnk_HEK-transduction_2,NNK library HEK293 transduction,SRS21884654,SRR29692419,64432375,1194876,NNK,Transduction,HEK (t),Homo sapiens HEK293 cells
SRX25195749,f4f_nnk_HEK-transduction_1,NNK library HEK293 transduction,SRS21884654,SRR29692436,69548767,1298080,NNK,Transduction,HEK (t),Homo sapiens HEK293 cells
SRX25195748,f4f_nnk_Primary-human-brain-endo_3,NNK library hBMVEC binding,SRS21884687,SRR29692437,148439930,2712651,NNK,Binding,hBMVEC (b),Homo sapiens hBMVEC primary cells
SRX25195747,IT-Virus2-Shark3_2,Shark3 assessment library virus DNA,SRS21884673,SRR29692542,852299042,14862360,shark3,Virus DNA,,Homo sapiens HEK293 cells
SRX25195746,IT-Virus2-Shark3_1,Shark3 assessment library virus DNA,SRS21884673,SRR29692439,847152990,14848385,shark3,Virus DNA,,Homo sapiens HEK293 cells
SRX25195745,winghead_Liver_medial_1,Winghead library macaque liver transduction,SRS21884694,SRR29692440,470976701,10431425,Winghead,Transduction,liver (macaque),Macaca fascicularis
SRX25195744,winghead_Liver_lateral,Winghead library macaque liver transduction,SRS21884694,SRR29692441,685638151,13587389,Winghead,Transduction,liver (macaque),Macaca fascicularis
SRX25195743,winghead_Liver_dorsal,Winghead library macaque liver transduction,SRS21884694,SRR29692442,275696489,5425251,Winghead,Transduction,liver (macaque),Macaca fascicularis
SRX25195742,winghead_starter_virus3,Winghead library virus DNA,SRS21884693,SRR29692443,1519104363,30503477,Winghead,Virus DNA,Production,Homo sapiens HEK293 cells
SRX25195741,winghead_starter_virus2,Winghead library virus DNA,SRS21884693,SRR29692444,1456921214,28801679,Winghead,Virus DNA,Production,Homo sapiens HEK293 cells
SRX25195740,winghead_starter_virus1,Winghead library virus DNA,SRS21884693,SRR29692445,1689460061,33629614,Winghead,Virus DNA,Production,Homo sapiens HEK293 cells
SRX25195739,Octopus_A4_Liver_Transduction_R3,Multifunction library mouse liver transduction,SRS21884692,SRR29692446,195678101,4389397,Multifunction,Transduction,liver (mouse) - transduction,Mus musculus
SRX25195738,Octopus_A4_Liver_Transduction_R2,Multifunction library mouse liver transduction,SRS21884692,SRR29692447,160825929,3540451,Multifunction,Transduction,liver (mouse) - transduction,Mus musculus
SRX25195737,Octopus_A4_Liver_Transduction_R1,Multifunction library mouse liver transduction,SRS21884692,SRR29692448,137706997,3080421,Multifunction,Transduction,liver (mouse) - transduction,Mus musculus
SRX25195736,Octopus_A3_Liver_Transduction_R3,Multifunction library mouse liver transduction,SRS21884692,SRR29692449,234919752,5260478,Multifunction,Transduction,liver (mouse) - transduction,Mus musculus
